Season,Name,Team,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,vFA (pi),ERA,xERA,FIP,xFIP,WAR,NameASCII,PlayerId,MLBAMID
2018,"Jacob deGrom","NYM",10,9,0,32,32,217,11.15668202764977,1.9078341013824884,0.4147465437788018,0.2811881188118812,0.82010582,0.464426877,0.0625,96.26929407461594,1.7004608294930876,,1.9853163684018753,2.6040187448949865,9.040757179260254,"Jacob deGrom",10954,594798
2018,"Max Scherzer","WSN",18,7,0,33,33,220.2,12.23565011087977,2.080060518849561,0.9380665085007824,0.26458333333333334,0.8130531,0.342741935,0.097457627,94.45735136103151,2.5287010229151528,,2.6528786822868007,3.0642737004482465,7.474438190460205,"Max Scherzer",3137,453286
2019,"Gerrit Cole","HOU",20,5,0,33,33,212.1,13.817896720320833,2.0345369404153377,1.229199401500933,0.2749391727493917,0.83333333,0.402745995,0.168604651,97.26007561043285,2.500784989260519,,2.639441173090714,2.475281412624454,7.473671913146973,"Gerrit Cole",13125,543037
2021,"Corbin Burnes","MIL",11,5,0,28,28,167,12.610778443113773,1.8323353293413174,0.3772455089820359,0.30851063829787234,0.75718016,0.488126649,0.060869565,96.49561225043402,2.4251497005988023,,1.631111966778418,2.301181694668924,7.472195148468018,"Corbin Burnes",19361,669203
2021,"Zack Wheeler","PHI",14,10,0,32,32,213.1,10.420312748439615,1.9406250462681065,0.6750000160932544,0.287593984962406,0.75274177,0.498141263,0.108108108,97.33589167888563,2.784375066384675,,2.588784108608961,2.837810339867204,7.221505165100098,"Zack Wheeler",10310,554430
2019,"Jacob deGrom","NYM",11,8,0,32,32,204,11.25,1.9411764705882353,0.8382352941176471,0.2818371607515658,0.81838565,0.443762781,0.112426035,97.10819708440722,2.426470588235294,,2.6747937894334983,3.1119300347771133,6.939486026763916,"Jacob deGrom",10954,594798
2019,"Lance Lynn","TEX",16,11,0,33,33,208.1,10.627200259453131,2.548800062226564,0.9072000221484381,0.32162661737523107,0.74376612,0.402877697,0.098591549,94.72622209521248,3.6720000896484395,,3.127609473598633,3.8509735849678814,6.752039909362793,"Lance Lynn",2520,458681
2018,"Justin Verlander","HOU",16,9,0,34,34,214,12.196260812616023,1.556074655402734,1.1775700094939607,0.2723404255319149,0.85290482,0.290650406,0.110671936,95.11595512667304,2.5233643060584874,,2.7819269298663736,3.0336027054915338,6.576925277709961,"Justin Verlander",8700,434378
2019,"Max Scherzer","WSN",11,7,0,27,27,172.1,12.69052261826307,1.7234043061838737,0.9400387124639312,0.32142857142857145,0.78715365,0.407862407,0.116129032,94.95752830276946,2.924564883221119,,2.4480520062929525,2.8793493789995908,6.472187042236328,"Max Scherzer",3137,453286
2019,"Justin Verlander","HOU",21,6,0,34,34,223,12.107624146850595,1.6950673805590835,1.4529148976220716,0.21814254859611232,0.88410104,0.359437751,0.16,94.63014387376238,2.582959817994794,,3.2678211385829,3.1762127172449865,6.4248809814453125,"Justin Verlander",8700,434378
2024,"Chris Sale","ATL",18,3,0,29,29,177.2,11.397749245462858,1.975609869213562,0.4559099698185143,0.31353919239904987,0.7981756,0.448356807,0.062937062,94.94208480046949,2.380863175718908,,2.0858042942755386,2.6442501166237466,6.410311222076416,"Chris Sale",10603,519242
2022,"Aaron Nola","PHI",11,13,0,32,32,205,10.317073170731707,1.273170731707317,0.8341463414634146,0.28932038834951457,0.73021182,0.43560606,0.098445595,92.92222055288461,3.2487804878048783,,2.5807236845900374,2.769559269780066,6.29971981048584,"Aaron Nola",16149,605400
2022,"Carlos Rodón","SFG",14,8,0,31,31,178,11.98314606741573,2.6292134831460676,0.6067415730337079,0.29310344827586204,0.75059102,0.341404358,0.065217391,95.45985932365826,2.8820224719101124,,2.2528804398654554,2.9067454417100116,6.233349800109863,"Carlos Rodon",16137,607074
2018,"Chris Sale","BOS",12,4,0,27,27,158,13.5,1.9367088607594938,0.6265822784810127,0.2834890965732087,0.82466568,0.441717791,0.093220338,95.37528582317073,2.107594936708861,,1.9768872719776782,2.3053086743701865,6.198293685913086,"Chris Sale",10603,519242
2022,"Justin Verlander","HOU",18,4,0,28,28,175,9.514285714285714,1.4914285714285713,0.6171428571428571,0.23963133640552994,0.804769,0.379232505,0.062176165,95.09869296577946,1.7485714285714287,,2.4895738588060654,3.230781258600099,6.057393550872803,"Justin Verlander",8700,434378
2019,"Charlie Morton","TBR",16,6,0,33,33,194.2,11.095890121044782,2.635273903748136,0.6934931325652989,0.2982832618025751,0.75247525,0.482254697,0.104166666,94.81084783475026,3.0513697832873152,,2.8133245546702796,3.2830795783619005,5.983532905578613,"Charlie Morton",4676,450203
2023,"Zack Wheeler","PHI",13,6,0,32,32,192,9.9375,1.828125,0.9375,0.29191321499013806,0.71276596,0.41221374,0.0990099,95.9622281615497,3.609375,,3.1508736928304044,3.536170850632092,5.931493282318115,"Zack Wheeler",10310,554430
2022,"Sandy Alcantara","MIA",14,9,0,32,32,228.2,8.147230683139576,1.9679301167003806,0.6297376373441218,0.26158940397350994,0.78822412,0.534201954,0.085106382,97.95842391304348,2.2827989353724414,,2.9856088385869612,3.293084572137847,5.920348167419434,"Sandy Alcantara",18684,645261
2018,"Gerrit Cole","HOU",15,5,0,32,32,200.1,12.399333812982299,2.8752078406915476,0.8535773277053031,0.2863741339491917,0.77908218,0.359550561,0.1,96.6417654454023,2.8752078406915476,,2.7011969901091355,3.0346755188125445,5.905994415283203,"Gerrit Cole",13125,543037
2024,"Tarik Skubal","DET",18,4,0,31,31,192,10.6875,1.640625,0.703125,0.27253218884120173,0.8,0.45702306,0.087719298,96.99477782943677,2.390625,,2.4946047782897955,2.8256122650811455,5.860317230224609,"Tarik Skubal",22267,669373
2018,"Trevor Bauer","CLE",12,6,1,28,27,175.1,11.344105805713621,2.9258553435550967,0.4619771595086995,0.29691211401425177,0.79509072,0.44549763,0.062068965,94.59581182570685,2.2072242065415644,,2.436097017039284,3.134676002519762,5.825963892042637,"Trevor Bauer",12703,545333
2018,"Patrick Corbin","ARI",11,7,0,33,33,200,11.07000084457404,2.1600001647949343,0.675000051498417,0.30246913580246915,0.74742268,0.484909456,0.111111111,90.8974357358871,3.150000240325946,,2.47043152313232,2.610271725031459,5.760283946990967,"Patrick Corbin",9323,571578
2021,"Nathan Eovaldi","BOS",11,9,0,32,32,182.1,9.625228787695312,1.7276051670222354,0.740402214438101,0.326171875,0.7044335,0.419847328,0.082417582,97.11598315173526,3.7513712198197116,,2.7916063239764557,3.4832731094819294,5.731126308441162,"Nathan Eovaldi",9132,543135
2019,"Stephen Strasburg","WSN",18,6,0,33,33,209,10.808611651070214,2.4114830775296094,1.0334927475126898,0.274,0.76525336,0.510638297,0.162162162,94.08838422943508,3.315789231603213,,3.252286984875145,3.1680882854198797,5.601249694824219,"Stephen Strasburg",10131,544931
2022,"Shohei Ohtani","LAA",15,9,0,28,28,166,11.873493975903614,2.3855421686746987,0.7590361445783133,0.2887139107611549,0.83111702,0.418781725,0.092715231,97.3578060522696,2.3313253012048194,,2.4015876281692323,2.65180317032409,5.59633207321167,"Shohei Ohtani",19755,660271
2021,"Walker Buehler","LAD",16,4,0,33,33,207.2,9.18780141314518,2.253611667375233,0.8234350323101812,0.24714828897338403,0.80931264,0.44652908,0.1005291,95.45344773860398,2.470305096930544,,3.155587893830021,3.5719495928383873,5.5503129959106445,"Walker Buehler",19374,621111
2022,"Kevin Gausman","TOR",12,10,0,31,31,174.2,10.562977714420796,1.4427481756282063,0.7729008083722534,0.3634453781512605,0.73979592,0.392197125,0.085227272,94.94010033136966,3.349236836279765,,2.3796065315028496,2.754864273376801,5.547391414642334,"Kevin Gausman",14107,592332
2019,"Shane Bieber","CLE",15,8,0,34,33,214.1,10.875583461816849,1.6796267894697836,1.3017107618390824,0.29636711281070743,0.77412513,0.439201451,0.160621761,93.21631191313307,3.2752722394660783,,3.3213189650352444,3.232283512923817,5.501377355307341,"Shane Bieber",19427,669456
2018,"Aaron Nola","PHI",17,6,0,33,33,212.1,9.494505039640032,2.4583986263353657,0.7205651146155382,0.25142857142857145,0.8254469,0.505681818,0.10625,92.93507826182136,2.373626259910008,,3.009725146574511,3.2134539391643164,5.48646879196167,"Aaron Nola",16149,605400
2023,"Spencer Strider","ATL",20,5,0,32,32,186.2,13.54821502403341,2.796428723821843,1.0607143435186301,0.3155216284987277,0.7025247,0.34057971,0.121546961,97.3760989010989,3.857143067340473,,2.853254623315771,2.9242724886054283,5.465874195098877,"Spencer Strider",27498,675911
2018,"Corey Kluber","CLE",20,7,0,33,33,215,9.293023255813953,1.4232558139534883,1.0465116279069768,0.27598566308243727,0.77900552,0.444250871,0.130890052,92.10861195116487,2.8883720930232557,,3.1232222734495654,3.0788431280574136,5.46293830871582,"Corey Kluber",2429,446372
2024,"Zack Wheeler","PHI",16,7,0,32,32,200,10.08,2.34,0.9,0.2463768115942029,0.80116959,0.426,0.102564102,95.46789937258687,2.565,,3.126479778289795,3.300687974356115,5.428380012512207,"Zack Wheeler",10310,554430
2018,"Luis Severino","NYY",19,8,0,32,32,191.1,10.348431505559116,2.1637629511623606,0.8937281754801055,0.3142857142857143,0.74974671,0.411067193,0.113772455,97.68816950220543,3.386759401819347,,2.9513723534406187,3.1019980669611376,5.389171600341797,"Luis Severino",15890,622663
